Partner,CODE,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Lebanon,LBN,317444308,314085677,463985245,465688546,930689826,825888292,1463832577,1852147275,2009038480,1807311627,1039943000,1034263176,1267896689,1286046233,1170319678,1221286595,1328435918,1037457114
Lesotho,LSO,2021905,5097676,5483683,4015033,4028604,7525706,1339723,16630440,11330245,13181171,16514237,571144,2449565,881897,2839262,1901616,2311991,1212467
Liberia,LBR,27693474,33313740,60914602,69320320,67840342,75769497,156687752,94745252,191351777,195207824,241089095,173207630,184502715,135815547,158020150,138340637,196684431,113842887
Libyan Arab Jamahiriya,LBY,18270411,225546,39202016,83841985,383744472,510834249,720871828,665507651,665533976,307238676,549022033,864473039,532031879,231336899,190107750,134882137,243781564,413437765
Liechtenstein,LIE,14511028,15943502,10831757,19716500,15835002,16183424,29259009,23482968,29267415,62346285,21972859,22055946,31102552,35475476,24575172,27744402,49354322,18055099
Lithuania,LTU,102819120,162319323,295103827,390027824,566639841,720302048,831259516,398538386,628120466,1141936078,756983833,854235543,681234694,528184140,463689797,609280158,706432915,933506733
Luxembourg,LUX,480141993,279107844,639851628,711383070,581322055,925549780,988035453,1292061259,1439673708,1585845119,1903143233,1848801276,1516227821,1393819297,1446279196,1078275297,1084295207,1922451851
Macau; SAR of China,MAC,79037234,54585518,85516120,101575899,200225783,226447445,306742843,209196460,225189155,291499829,345460636,351203334,433391819,542389229,632019604,502134916,601781814,572248439
Macedonia,MKD,18632191,26126439,21234299,31556267,22426182,33561327,36114737,34837071,33332833,29456706,21117500,54778259,33850337,30678977,45859529,41275505,41369325,38424949
Madagascar,MDG,15399224,46251595,35648993,28205237,44737462,32129605,70754620,105868563,115994454,56283902,64275029,64007569,46811501,54553731,41967368,53260435,113570830,66366126
Malawi,MWI,30111737,16632130,21653944,28049237,45741929,51499475,44943925,40423565,37001180,56973282,63951198,54498745,50669581,37201602,46613125,27880840,17240448,22826186
Malaysia,MYS,10343653601,10914061711,10850176912,10460833167,12443999494,11680201598,12949454144,10403284106,14079484478,14264019831,12817723181,13015887589,13068986012,12277705641,11774178551,12872512192,13011969701,13120000929
Maldives,MDV,4126316,6579641,9872865,9255550,17647304,19321264,20294509,17424044,28284498,44835389,30051856,28778952,28985734,35136130,30969447,34373287,37724163,39410102
Mali,MLI,11164423,31447402,42940934,32421928,43130545,31901355,30908863,36747987,37274320,55077612,59745089,49893003,38462373,72426079,73200821,61861875,78851438,67939075
Malta,MLT,210066466,202252866,181300727,193709217,162538078,207214338,253437906,208459569,457387915,752427011,390983065,563593854,917602024,490665964,292459820,293009373,201052679,143652548
Marshall Islands,MHL,28732933,28174812,18759966,75484350,15487320,22887016,25148907,77579432,91184680,143791762,142133251,65478036,94570567,53807652,283304231,557113097,289962050,100062278
Martinique,MTQ,23735269,21686646,28094296,34959990,32425501,193908207,288848377,263426197,296799785,339595962,370668017,381786515,331415726,132669428,144639404,167336400,247104420,133515584
Mauritania,MRT,22866587,34880600,34403132,86135221,90146958,102657391,106603830,56280371,84343006,243310966,291593870,244685427,148823898,126279168,116252672,127859316,88378841,90942431
Mauritius,MUS,27451631,31977614,28437153,30860179,35584108,49793601,51280301,70031102,40027845,46369941,95986858,42095310,35525527,58435311,86956655,61421605,123359194,87173772
Mayotte,MYT,14569,0,270439,0,11724,243119,57814,1168097,6282489,4572023,11610143,8520110,12087472,5697333,2829427,493107,869589,1700564
Mexico,MEX,97470271485,97411793347,1.10731E+11,1.20248E+11,1.33722E+11,1.35918E+11,1.5122E+11,1.28892E+11,1.63665E+11,1.98289E+11,2.15875E+11,2.25954E+11,2.41007E+11,2.3646E+11,2.30229E+11,2.43508E+11,2.65443E+11,2.56374E+11
Micronesia (Federated States of),FSM,27215103,23610237,24604539,25349268,29584985,37824810,54502889,51947959,42389761,44072040,51491652,41566161,41523205,40032615,42970200,44827548,46743027,45145269
Moldova; Republic of,MDA,30659918,25124869,39463829,40069837,30093862,52668339,66237298,26644083,37813517,39569462,38267976,45602639,35188566,16163682,14996342,17614764,13422381,20470251
Monaco,MCO,11434372,50296685,18163831,16776668,33485803,42757654,62734955,17968911,49192767,20664012,24306080,465907393,127638099,71128048,69242270,42263572,229389914,75968455
Mongolia,MNG,66273120,20684897,28127594,21879286,23058259,26032828,57248374,40514385,115518352,315176816,664955251,279573362,167478862,69177420,55261990,82192362,120888075,192697508
Montenegro,MNE,0,0,0,0,0,45306063,53185501,34787868,14554803,17673009,12397402,21683955,18179413,11133957,16711327,9148718,63691384,18469744
Montserrat,MSR,5135665,7944685,6057004,4848606,14377481,4774256,8564674,5883151,4746579,6903084,8566354,8616652,9181522,6640011,9485273,9708109,17513147,15854734
Morocco,MAR,565429661,468499361,498307570,480792527,837929033,1294157002,1435863486,1630259886,1947613644,2823307066,2170396557,2483726772,2101654296,1624802519,1932699862,2218490832,3010614746,3479286418
Mozambique,MOZ,94613571,62076734,76450499,62825299,64369218,114979532,213387796,189612914,224019682,459242488,351608971,303016499,375163570,264203995,149440989,177236783,184452651,195738474
Namibia,NAM,57776625,27997340,74513300,112249178,126928878,127834398,280324325,202339839,110184585,136564152,184614633,235244409,342745211,127617698,212941266,115048015,209608949,194641678
Nauru,NRU,2873655,1865039,726889,1624750,3782469,8140371,11240397,3687213,2492127,499196,2208920,758585,812299,1733650,494811,198927,796958,1232259
Nepal,NPL,19973542,16303724,25019031,24704668,16641805,28966464,28543659,31006805,28269192,40354262,37013899,32513730,36334623,36414272,40457524,75851857,55481508,123001864
Netherlands,NLD,18310700887,20695009298,24139701019,26467744578,30959583096,32836958949,39719476892,32241517656,34740302131,42227119015,40618286512,42577045423,43141223376,40211651705,39645356564,41474872349,48703018740,51232693826
Netherlands Antilles,ANT,741406792,746857272,824200356,1137633614,1485065922,2082020131,2951625832,2055809980,2943154831,1187093257,0,0,0,0,0,0,0,0
New Caledonia,NCL,36598335,43231190,45066132,38403106,43607213,57785454,89120063,77859989,108035793,115339950,75103196,72868672,121389089,88666191,65911535,59362579,63948212,74449516
New Zealand,NZL,1813090988,1847707506,2072881798,2592076963,2806165775,2717562746,2533906801,2158504659,2820164709,3581197846,3228539259,3225401631,4257761816,3630673018,3575016003,3923525086,4061331458,3950187982
Nicaragua,NIC,437028716,501655086,592430711,625460463,751563512,889963276,1094246692,715129472,981363718,1058585304,1128213231,1059306367,1008556849,1267399287,1479944445,1586966925,1628937815,1652455970
Niger,NER,40903721,33618604,34026714,78511944,129173968,69308772,50007174,58240607,48886203,48152287,37367471,46194680,58530382,71605993,66301431,44300779,61726976,75939682
Nigeria,NGA,1057765943,1016861767,1554314906,1619788459,2233465992,2777942084,4102387055,3687083853,4060548125,4904789052,5029335221,6388352516,5965869381,3431360217,1894687855,2173166447,2686445220,3178325594
Niue,NIU,332595,61803,613285,607643,2540329,1662323,509662,1209612,1570975,716169,771748,249064,111564,71371,75803,86722,1260759,251587
Norfolk Island,NFK,221048,384262,397632,391532,1939424,1527492,3952840,864840,661175,1043984,1228303,1730958,829925,350312,122379,138341,196503,12606
North Korea,PRK,25012257,7977400,23750195,5757048,0,1728160,52151230,856793,2867073,9405834,11952220,6582817,24028661,4751721,118494,2660,4315,0
Norway,NOR,1406476125,1465898293,1604325037,1941882004,2393968843,3040287529,3292198210,2789788721,3099984444,3629656458,3501159741,4616023641,4420750352,3570413531,3919872954,5451079769,5413749109,3873278915
Oman,OMN,355988029,322408567,330113184,570725120,828660320,1059179720,1381973854,1126324482,1105209532,1436672881,1746916573,1570964193,2014250100,2355321858,1803272983,1984163974,2415358588,1937699362
Other Countries,,187100846,185711004,223996560,216283336,124385407,441208607,182997431,233738869,375897966,225387686,175000278,179871109,101833,0,1771484,0,0,0
Pakistan,PAK,693399497,843218928,1680083316,1251631940,1722633113,1943577099,1897845402,1617950218,1901071676,1988785840,1530065196,1645795477,1512816427,1837956984,2107771530,2808080622,2848764895,2621680436
Palau,PLW,18521423,15834465,17166436,12225240,10755456,13803500,14065965,14796127,14157003,16831030,16755532,18237634,20521307,25634214,25694149,19432665,20627040,19581853
Panama,PAN,1406668117,1848734593,1772470119,2162020485,2660135037,3669201342,4887253843,4292943517,6065898991,8251646494,9828759247,10564548080,10140091953,7668879989,6069071949,6289828298,6838052652,7720663287
Papua New Guinea,PNG,23247691,30275992,42635450,55347872,43761533,65888833,70047324,217804185,186079364,304028723,391381919,166733845,143251616,207793894,131300112,105851898,86998946,95269780
Paraguay,PRY,432880922,483662004,622872325,895819607,910768324,1236732017,1609936531,1355033256,1810053906,1977345845,1743208491,1932782887,2115595792,1491695557,1970327858,2712674971,2257023728,2118083817
Peru,PER,1562464431,1698531073,2101024891,2309446378,2926839982,4119773437,6182968633,4918842351,6749545624,8341864469,9348621449,10120124634,10055208643,8723968906,7926940525,8667864344,9724482069,9687251261
Philippines,PHL,7275982328,7987298248,7086974609,6895406023,7616937667,7712299275,8294867172,5766367618,7376713359,7727870939,8087361107,8403390567,8453447361,7903089702,8193675662,8450255967,8720072637,8660368357
Pitcairn Islands,PCN,6082742,3031593,2369109,456290,1365209,1894797,0,568212,3683,15696,40527,0,55591,17405,51658,1431,84549,6273
Poland,POL,686310464,758133744,929243442,1267748385,1960750731,3123428696,4130606117,2301516671,2982925333,3143110865,3346364002,3778311068,3660578608,3715464005,3644370483,4523313117,5352263093,5963325835
Portugal,PRT,861271061,862461378,1046078629,1131865366,1470513405,2478481445,2645976274,1084847582,1057882127,1315990308,1097095847,844350936,1120670649,942300758,967411109,1192487452,1573136193,1722370940
Qatar,QAT,313949805,407512561,454857542,986642413,1278589136,2523625528,2715854933,2713238087,3159769790,2806681719,3577715161,4957973407,5172548120,4222427990,4926696554,3123874635,4428139455,6458793453
Reunion,REU,2318566,2147091,2619765,3785910,4378145,4753124,8446395,9448244,8214437,154882932,7566899,8774205,11072320,6905271,449559483,8376879,8623311,8941772
Romania,ROU,248246589,366894734,525375198,608858767,554007617,676587084,1048179130,672003377,729792681,918551681,832745398,746508997,977213972,753747879,696238959,954062092,1113957449,942535893
Russian Federation,RUS,2396964154,2447218211,2960996609,3962270261,4700325257,7283267667,9334581764,5332081493,5993665458,8318439250,10695291383,11144747483,10752405030,7086515412,5831102663,7002945486,6658955640,5786748446
Rwanda,RWA,10185014,7918639,11199108,10534162,11684654,16050053,20449259,34145955,30608174,119651782,30489992,25191269,21219489,14281660,74666080,66148838,25240682,18862948
Saint Helena,SHN,2103427,2285481,7132017,2732629,1754323,3279597,2034633,2893506,692094,1901890,4847886,2866797,489827,3720487,746138,587754,719155,572609
Saint Kitts and Nevis,KNA,49460951,58767790,60326577,94069439,127215672,110676625,123894416,108056908,131030912,115840644,106150374,142958744,180068984,149735796,144530266,243537203,209365549,210202784
Saint Lucia,LCA,99499159,119544308,105297266,135389135,149061140,165252471,241025030,136219773,401530949,315651418,376957631,594301914,693823181,515415136,438800990,540558600,609753599,852294135
Saint Pierre and Miquelon,SPM,801329,84544,652107,980031,446610,221553,400795,135133,14691,118559,179852,261629,4364,227459,62460,390569,132128,88482
Saint Vincent and the Grenadines,VCT,40448783,46216288,45462339,45411401,58326805,68952798,82692856,74851479,85970257,80602721,98707927,93180570,103619626,84722498,93595862,81348762,82375064,102046418
Samoa,WSM,7606825,10548690,12407583,14538961,18293393,16716327,13306266,18683664,19124418,23786831,24702919,28394642,22948737,22719660,27967248,38309271,39097786,52675256
San Marino,SMR,5828774,5972087,3954174,4676009,8965182,13890976,9328760,8132793,3990083,2009836,1347152,1873295,5977212,5011879,4646657,2099523,1567197,31694971
Sao Tome and Principe,STP,1973506,1394508,3707514,10153283,3709233,8414824,3268944,4018129,1358738,6123966,870234,1998050,1088495,853963,1994248,3140792,2068258,2696727
Saudi Arabia,SAU,4780735939,4595749142,5256748140,6805402418,7639533026,10395890781,12484248431,10792157268,11506200861,13923664673,17961238469,18962914928,18716920271,19791575408,17993678099,16354830904,13601307975,14289207045
Senegal,SEN,74624935,101813201,89420141,141499953,96865399,150414680,137103698,175723538,218782926,265150828,149125719,229108446,170875243,198825180,184315507,207911550,289129293,198312460
Serbia,SRB,0,0,0,0,0,109583090,207357458,112594021,104469213,126632272,127658133,141973440,135035904,126269420,145142099,125604552,165715832,150607661
Serbia and Montenegro,SCG,78107743,49937003,142933461,132496330,147142660,0,0,0,0,0,0,0,0,0,0,0,0,0
Seychelles,SYC,8244982,7162995,13813411,17912292,9525964,9473317,24967766,34068446,10681706,13056829,14968779,12189931,12451133,18546349,12481272,15488847,14379285,18275615
Sierra Leone,SLE,25459491,28244360,40624624,37829353,39246151,55420539,59360501,42537601,61057483,102791973,100735979,82411287,87931206,77325724,63175925,79172822,71426452,78360706
Singapore,SGP,16217920468,16560174923,19397373146,20466073458,23825546496,25618565860,27853610178,22231821976,29008615357,31282363017,30523214544,30665030257,30067829728,28480840145,26815584667,29648900171,32747286153,31549569594
Sint Maarten,SXM,0,0,0,0,0,0,0,0,0,397678059,702440846,828898068,777566086,741426745,714830406,548758934,672570339,688867518
Slovakia,SVK,92696658,115203591,131679530,149800634,422476654,503251782,547543286,209588452,255851944,302411668,335549229,295818376,445176240,379538474,293202140,441634993,289339818,389071369
Slovenia,SVN,130855079,139491087,191998901,233830317,239128814,296840744,309595949,243645097,328108783,668166646,307877888,269491341,301210859,346054314,331367134,371640837,321689145,344597397
Solomon Islands,SLB,1543147,1834376,2753570,2297431,5680255,5438181,5246192,6020700,4953653,6056589,7254847,8933554,6599026,5861309,9898289,9303881,11720226,19826790
Somalia,SOM,6165509,7020377,9133636,8831504,19945456,20693618,64345393,4099468,1457879,6081543,16734553,15959166,35653738,45026584,38827482,70594918,49454787,105431065
South Africa,ZAF,2525541192,2819271402,3178505994,3906946741,4461696778,5521396823,6490469811,4452643478,5631664767,7271282389,7552773511,7293400316,6375482804,5457293361,4599957902,5050566123,5517385301,5333715145
South Korea,KOR,22575758149,24072584914,26186736005,27571605977,32219124163,34401709969,34668671020,28611928167,38820637297,43461636035,42282565212,41648727506,44649563379,43483975006,42262186687,48350373024,56506610978,56897327116
South Sudan,SSD,0,0,0,0,0,0,0,0,0,7361905,32540784,13417224,46148430,19613532,9725334,13574310,23460993,22314219
Spain,ESP,5297869109,5929861037,6542618569,6839116578,7401168666,9766108527,12189817902,8716930087,10355445923,11031589790,9551906914,10244036471,10199805485,10310080790,10401218009,11070813958,13085940184,15101427454
Sri Lanka,LKA,171879128,154655509,164060189,197631294,236645925,227147226,283253936,229571323,178740142,303547816,223950414,311911749,350640136,361949974,367855265,336249489,371524793,390338080
Sudan,SDN,10813508,26199406,68358117,108105454,76924039,79129315,143305018,78414774,115617732,74694129,55491290,88268450,77168737,59514997,55522616,69403032,95298955,74409821
Suriname,SUR,124757210,192654612,179188616,245701079,258783296,303625324,406402258,380392824,362090799,433918837,499266829,449846279,519004152,443632080,303515870,359563254,388011975,375753015
Svalbard and Jan Mayen Island,SJM,617111,2909866,977832,5677609,5729024,926112,2204770,868604,7674628,2052453,125458,1633247,3394498,380164,97888,1986719,3556277,4190526
Swaziland,SWZ,11469937,8222889,12383850,11856893,12091430,29002898,12120383,14552515,23582688,20075203,40226860,22681861,25679849,28521751,25610904,24073435,33393894,19751621
Sweden,SWE,3153002993,3223395766,3244171021,3715368620,4125937735,4472726015,5018258734,4560785212,4739888118,5265007755,5247930905,4318640022,4336699085,3939001935,3804733396,3734542267,4469320190,4356132285
Switzerland,CHE,7782549475,8656375445,9279928575,10717528064,14375043637,17039261465,22023645856,17504409869,20703849321,24486242385,26406154155,26558942638,22204420118,22154240851,22797085101,21695056779,22171900577,17917303360
Syrian Arab Republic,SYR,274076293,214010022,212978066,155049379,224314878,361420332,408864143,303870805,503311144,230164836,19471324,21644824,6845935,3072304,3490887,6961023,50523762,8598031
Taiwan,TWN,18381828531,17447883485,21585195883,21614496927,22709360952,25828669191,24926275971,18485640877,26050037333,25932497638,24337097719,25522769412,26675060570,25826012762,26033903374,25735903618,30560439302,31218810786
Tajikistan,TJK,33129097,49959733,55704725,28786700,43090408,52685573,51428157,41171507,57013199,178246296,54186972,51874112,24503388,18985373,21323840,18053527,14382735,11193778
Tanzania; United Republic of,TZA,62686157,64740050,127644822,96443910,160673885,173961966,169325571,157948337,163499769,260183381,245389981,411953494,302129379,172816873,157566013,145290295,331906936,332201587
Thailand,THA,4860186150,5835312939,6368436539,7256616259,7915383466,8336419189,9066556735,6918398273,8976381744,10929873027,10887802586,11797010707,11814963097,11228763356,10501043916,11023012096,12448344740,13307863927
Togo,TGO,13790465,15238971,23709491,27928388,108427734,287594314,117125699,124798314,157620745,209689039,370550165,1007500845,1024635368,311816374,229466464,456329318,642288039,430791517
Tokelau Islands,TKL,18004307,15171726,25395831,79822527,44750446,55422404,39335534,12926185,3938459,4886393,13422094,828055,1387753,341222,2474242,1913610,21040239,425332
Tonga,TON,11011298,5738295,7293736,9685131,10537182,13233104,13730360,12942138,20678902,19269574,26892624,19238838,20031820,13817538,15215855,16719457,24125752,20424113
Trinidad and Tobago,TTO,1020211480,1063297413,1207578238,1416748479,1614598036,1779841581,2250213184,1988348722,1924931875,2185137885,2477825749,2408396126,2411378967,2511636101,2341456153,1817045528,2115732609,2819987866
Tunisia,TUN,194809930,170508559,258166185,261166520,362970070,402999020,502430863,501332614,572780850,597007683,614865677,907186423,831395799,602417422,526954851,544451764,597607230,461074751
Turkey,TUR,3112992163,2900216978,3362263977,4238966194,5291178158,6498756060,9958671254,7094632437,10538481925,14695214372,12474727209,12078652726,11650079451,9519509918,9354231999,9771770526,10261410014,10044692645
Turkmenistan,TKM,47128313,34203470,262259469,215170092,112840364,127290102,59705800,293658852,39965764,70967048,92019532,261778552,455524961,80832991,106203204,282178944,30902904,28265538
Turks and Caicos Islands,TCA,53585655,71891742,137423498,237752693,365682812,395783826,434413482,247865657,189434305,204953122,209629786,225789558,281915001,279679103,296603738,369854425,356405234,346450407
Tuvalu,TUV,70128,76572,322376,42460,64290,51512,130423,151784,620945,724161,612146,560260,591900,625636,1139541,796156,1359004,832383
Uganda,UGA,23973253,41692111,63360683,62573652,50551989,80348803,88525002,119061119,93513814,94038056,100125293,122740389,78262341,88239289,69059910,107869624,87488073,104498938
Ukraine,UKR,254811895,230558745,399400823,532954308,756245355,1342099159,1868037332,886859797,1348816161,2138824978,1936270509,1924811744,1239036086,862158955,1076685038,1788512886,2486186205,2354827276
United Arab Emirates,ARE,3593182869,3508267529,4080037812,8119527357,10277016479,10786648688,14417398443,12210863357,11662455901,15921629417,22559108724,24476064517,22115343552,23001078211,22384470663,20078668492,19511305518,20038096190
United Kingdom,GBR,33204699178,33827929642,35901658238,38568083046,45410106533,49981491297,53599069711,45703598254,48410311047,56033108347,54860484359,47361236230,53913170241,56094705824,55197491025,56256714057,66312722641,69156507757
Uruguay,URY,208561741,326494173,326063241,356676188,482235804,640772589,893056253,745087443,975277447,1258319413,1359476870,1754607247,1606555041,1295135756,1114385028,1587654567,1386201875,1710619821
Uzbekistan,UZB,138527959,256091912,191991429,73826609,53894688,88754314,300659063,97536884,101148237,102560932,284611052,356435025,212945403,137962928,317880066,136094699,296507635,505552962
Vanuatu,VUT,852512,1266994,9467203,9138578,9059099,23948479,63755418,3903181,18940232,5152275,99515739,34439495,21196729,5867876,7813525,7762425,10308509,4649530
Vatican City,,2897797,2963792,4155024,24181227,12037913,18266111,9275122,7351678,3193465,2291281,4803261,2467299,2573365,2226547,825344,1146853,183830,718912
Venezuela,VEN,4429657759,2830974363,4767416082,6420897723,9002343708,10200506826,12610041006,9315456954,10644795910,12383426246,17516968263,13200529914,11178341652,8343600405,5214301939,4127237111,6119612030,1272231476
Viet Nam,VNM,580196885,1323781554,1105470811,1193152202,1100283809,1903057411,2789448762,3097194382,3705548752,4315220420,4622882579,5036763709,5732472749,7100571980,10098439060,8133980176,9675294314,10883073324
Wallis and Futuna,WLF,241066,552136,168566,408737,178050,212545,706910,535497,778132,338897,602240,637535,350213,376841,225156,300526,1188657,471688
West Bank,PSE,278018,479325,238357,3720993,2272497,13009291,290252,620793,714402,1145816,1521509,894527,1755072,859737,1169369,2192360,2167082,3247758
Western Sahara,WAL,0,28112,22603,28656,16063,344442,91132,158569,53902,31131,58850,156076,276987,32113,93983,418356,259989,21197768
World,,6.93103E+11,7.24771E+11,8.14875E+11,9.01082E+11,1.02597E+12,1.1482E+12,1.28744E+12,1.05604E+12,1.27849E+12,1.48251E+12,1.54582E+12,1.57852E+12,1.62187E+12,1.50333E+12,1.45146E+12,1.54647E+12,1.66599E+12,1.64517E+12
Yemen,YEM,366110013,191400003,232335659,219048520,254925318,642086903,401463803,381131640,397765730,389745032,469466337,518251949,368898721,158009761,170867053,198955199,191307697,270224329
Zambia,ZMB,35735439,19460457,26399404,29113109,51633652,69394927,78704324,57273292,56415126,129784635,146788830,141148845,114121914,84170835,81624741,85149483,195386034,99307986
Zimbabwe,ZWE,49320550,41675627,47297131,45540976,47583947,105250099,92874918,85459651,67565121,61598378,53478276,60513567,48706474,37844983,30061773,39926035,33737878,39145993